,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dificuldade,dicas,tempo,nos_visitados,profundidade_maxima,total_podas,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
15x10n=6_Suguru-592,Suguru-592,15x10n=6,150,26,5.769230769230769,3,45,0.11478084800182842,13,6,192,3,True,117,35,11,26,0,3
15x10n=6_Suguru-399,Suguru-399,15x10n=6,150,27,5.555555555555555,3,49,0.05151264100277331,5,4,145,1,True,81,24,19,13,0,8
15x10n=6_Suguru-458,Suguru-458,15x10n=6,150,28,5.357142857142857,3,39,0.10977690300205722,13,11,146,2,True,78,35,17,13,0,3
15x10n=6_Suguru-567,Suguru-567,15x10n=6,150,27,5.555555555555555,3,41,0.6604526349983644,86,13,709,36,True,396,95,43,141,0,34
15x10n=6_Suguru-693,Suguru-693,15x10n=6,150,26,5.769230769230769,3,47,0.08459072999539785,10,10,102,1,True,56,23,8,10,0,5
15x10n=6_Suguru-314,Suguru-314,15x10n=6,150,27,5.555555555555555,3,42,0.245728017995134,33,9,345,11,True,180,81,34,41,0,9
15x10n=6_Suguru-512,Suguru-512,15x10n=6,150,26,5.769230769230769,3,47,0.37938911400851794,49,12,528,14,True,306,73,98,48,0,3
15x10n=6_Suguru-722,Suguru-722,15x10n=6,150,27,5.555555555555555,2,43,0.1433797140052775,11,4,484,3,True,252,67,55,91,0,19
15x10n=6_Suguru-21,Suguru-21,15x10n=6,150,28,5.357142857142857,2,40,0.212486396994791,27,11,303,6,True,180,40,51,31,0,1
15x10n=6_Suguru-91,Suguru-91,15x10n=6,150,27,5.555555555555555,3,40,0.1661244720016839,18,11,229,1,True,143,26,14,34,0,12
15x10n=6_Suguru-123,Suguru-123,15x10n=6,150,27,5.555555555555555,3,40,0.61429092301114,69,12,1067,31,True,649,155,112,101,0,50
15x10n=6_Suguru-620,Suguru-620,15x10n=6,150,27,5.555555555555555,3,40,0.0907169510028325,9,6,210,0,True,120,34,23,28,0,5
15x10n=6_Suguru-629,Suguru-629,15x10n=6,150,27,5.555555555555555,2,43,0.09750183099822607,11,5,152,3,True,103,29,4,15,0,1
15x10n=6_Suguru-733,Suguru-733,15x10n=6,150,26,5.769230769230769,3,44,0.254324194000219,29,8,358,9,True,203,61,36,49,0,9
15x10n=6_Suguru-794,Suguru-794,15x10n=6,150,27,5.555555555555555,3,43,0.09051831100077834,11,7,186,1,True,87,29,32,20,0,18
15x10n=6_Suguru-95,Suguru-95,15x10n=6,150,26,5.769230769230769,3,44,0.0981768199999351,13,8,147,0,True,82,21,4,38,0,2
15x10n=6_Suguru-140,Suguru-140,15x10n=6,150,27,5.555555555555555,3,42,4.718192648011609,487,14,7632,308,True,4912,877,758,913,0,172
15x10n=6_Suguru-290,Suguru-290,15x10n=6,150,27,5.555555555555555,3,44,0.34933917300077155,45,10,539,17,True,231,88,157,59,0,4
15x10n=6_Suguru-660,Suguru-660,15x10n=6,150,26,5.769230769230769,3,43,0.759334618007415,99,10,993,31,True,702,79,67,112,0,33
15x10n=6_Suguru-675,Suguru-675,15x10n=6,150,28,5.357142857142857,3,44,0.06498101599572692,7,5,144,1,True,85,30,4,16,0,9
15x10n=6_Suguru-742,Suguru-742,15x10n=6,150,26,5.769230769230769,3,44,0.7833081559947459,95,13,727,45,True,409,127,16,80,0,95
15x10n=6_Suguru-799,Suguru-799,15x10n=6,150,26,5.769230769230769,3,49,0.08735692499612924,10,7,128,0,True,77,30,8,11,0,2
15x10n=6_Suguru-149,Suguru-149,15x10n=6,150,27,5.555555555555555,3,49,0.13939251599367708,15,9,313,1,True,183,62,23,33,0,12
15x10n=6_Suguru-338,Suguru-338,15x10n=6,150,26,5.769230769230769,2,38,0.20650726700841915,22,9,311,6,True,186,54,23,38,0,10
15x10n=6_Suguru-343,Suguru-343,15x10n=6,150,27,5.555555555555555,3,40,0.8852890510024736,114,10,1697,59,True,481,99,1019,78,0,20
15x10n=6_Suguru-413,Suguru-413,15x10n=6,150,26,5.769230769230769,3,48,0.0985775049921358,13,10,202,0,True,120,27,20,19,0,16
15x10n=6_Suguru-481,Suguru-481,15x10n=6,150,27,5.555555555555555,3,38,0.5260041069996078,54,14,678,31,True,419,93,29,90,0,47
15x10n=6_Suguru-649,Suguru-649,15x10n=6,150,26,5.769230769230769,2,39,0.1772365670040017,22,12,342,3,True,116,39,134,46,0,7
15x10n=6_Suguru-690,Suguru-690,15x10n=6,150,26,5.769230769230769,3,44,1.1845371229865123,122,11,1812,70,True,1031,275,135,354,0,17
15x10n=6_Suguru-59,Suguru-59,15x10n=6,150,26,5.769230769230769,3,48,0.23859278799500316,26,10,458,4,True,247,61,57,76,0,17
15x10n=6_Suguru-189,Suguru-189,15x10n=6,150,27,5.555555555555555,3,43,0.1550836039968999,18,12,159,2,True,83,37,14,13,0,12
15x10n=6_Suguru-202,Suguru-202,15x10n=6,150,27,5.555555555555555,3,42,0.10169871199468616,14,8,130,3,True,75,32,4,13,0,6
15x10n=6_Suguru-744,Suguru-744,15x10n=6,150,26,5.769230769230769,3,45,0.769196588997147,90,11,1427,41,True,577,130,168,228,0,324
15x10n=6_Suguru-746,Suguru-746,15x10n=6,150,27,5.555555555555555,3,41,0.16368563199648634,19,10,291,4,True,119,36,74,51,0,11
15x10n=6_Suguru-16,Suguru-16,15x10n=6,150,27,5.555555555555555,3,42,0.10242470899538603,11,6,179,0,True,98,32,8,31,0,10
15x10n=6_Suguru-24,Suguru-24,15x10n=6,150,26,5.769230769230769,3,45,2.6258232789987233,276,11,6998,146,True,3254,657,1635,1085,0,367
15x10n=6_Suguru-35,Suguru-35,15x10n=6,150,25,6.0,3,48,2.0086095379956532,167,12,2853,135,True,1536,362,252,450,0,253
15x10n=6_Suguru-87,Suguru-87,15x10n=6,150,28,5.357142857142857,3,36,0.7814955469948472,68,9,1433,27,True,937,184,57,188,0,67
15x10n=6_Suguru-98,Suguru-98,15x10n=6,150,26,5.769230769230769,3,41,0.1644719859905308,18,9,205,7,True,119,41,14,26,0,5
15x10n=6_Suguru-139,Suguru-139,15x10n=6,150,26,5.769230769230769,3,41,0.8237666479981272,72,11,1527,45,True,829,150,330,180,0,38
15x10n=6_Suguru-187,Suguru-187,15x10n=6,150,26,5.769230769230769,3,44,0.6699963749997551,85,10,577,50,True,335,111,53,75,0,3
15x10n=6_Suguru-483,Suguru-483,15x10n=6,150,26,5.769230769230769,3,39,0.3726308019977296,41,12,877,14,True,401,139,167,97,0,73
15x10_Suguru-741,Suguru-741,15x10,150,33,4.545454545454546,3,19,0.47503336700901855,55,13,1242,34,True,683,158,154,199,0,48
15x10_Suguru-762,Suguru-762,15x10,150,32,4.6875,3,21,1.5023056080099195,159,11,5265,87,True,2795,625,386,850,0,609
15x10_Suguru-299,Suguru-299,15x10,150,32,4.6875,3,17,0.34063503399374895,55,9,418,21,True,203,119,32,41,0,23
15x10_Suguru-323,Suguru-323,15x10,150,32,4.6875,3,16,6.89423851200263,594,16,14020,473,True,7404,2190,2208,1341,0,877
15x10_Suguru-625,Suguru-625,15x10,150,32,4.6875,3,16,2.67745670399745,305,18,3700,266,True,1764,305,514,1094,0,23
15x10_Suguru-660,Suguru-660,15x10,150,32,4.6875,3,20,0.24384086100326385,32,17,554,6,True,295,94,47,65,0,53
15x10_Suguru-771,Suguru-771,15x10,150,32,4.6875,3,18,0.17548591700324323,24,15,317,3,True,163,42,73,30,0,9
15x10_Suguru-204,Suguru-204,15x10,150,31,4.838709677419355,3,19,0.17363451700657606,22,11,397,4,True,228,62,40,55,0,12
15x10_Suguru-415,Suguru-415,15x10,150,32,4.6875,3,18,0.13680390700756107,16,11,264,2,True,130,41,45,40,0,8
15x10_Suguru-60,Suguru-60,15x10,150,32,4.6875,3,13,1.7815139000013005,181,14,5190,107,True,2893,685,445,740,0,427
15x10_Suguru-110,Suguru-110,15x10,150,34,4.411764705882353,3,16,0.4846415799984243,76,16,789,33,True,460,110,83,101,0,35
15x10_Suguru-574,Suguru-574,15x10,150,31,4.838709677419355,3,24,0.5473997850058367,56,13,1475,25,True,828,227,191,139,0,90
15x10_Suguru-185,Suguru-185,15x10,150,32,4.6875,3,20,0.9274267770088045,104,14,1862,75,True,961,277,229,239,0,156
15x10_Suguru-604,Suguru-604,15x10,150,32,4.6875,3,14,3.2885392530006357,262,11,6403,225,True,3517,1033,569,871,0,413
15x10_Suguru-752,Suguru-752,15x10,150,33,4.545454545454546,3,21,0.4972040169959655,60,17,1118,27,True,617,182,152,124,0,43
15x10_Suguru-181,Suguru-181,15x10,150,33,4.545454545454546,3,19,0.6332411530020181,75,15,833,36,True,448,166,83,127,0,9
15x10_Suguru-579,Suguru-579,15x10,150,33,4.545454545454546,3,17,0.36259167500247713,50,13,629,23,True,399,95,48,74,0,13
15x10_Suguru-774,Suguru-774,15x10,150,33,4.545454545454546,3,19,0.28295670899387915,31,14,554,15,True,297,98,78,59,0,22
15x10_Suguru-143,Suguru-143,15x10,150,31,4.838709677419355,3,22,13.330406836001202,1909,18,32994,896,True,18265,3736,5861,4083,0,1049
15x10_Suguru-220,Suguru-220,15x10,150,34,4.411764705882353,3,17,0.6747449749964289,77,16,1466,48,True,821,256,212,133,0,44
15x10_Suguru-257,Suguru-257,15x10,150,32,4.6875,2,15,0.2883590400015237,42,18,441,10,True,233,71,77,52,0,8
15x10_Suguru-276,Suguru-276,15x10,150,31,4.838709677419355,3,20,0.5249806900101248,57,13,1370,30,True,766,188,155,178,0,83
15x10_Suguru-490,Suguru-490,15x10,150,32,4.6875,4,17,0.13585974200395867,19,14,192,1,True,120,33,14,24,0,1
15x10_Suguru-715,Suguru-715,15x10,150,32,4.6875,4,20,0.32092318100330885,46,13,638,12,True,372,84,33,114,0,35
15x10_Suguru-98,Suguru-98,15x10,150,34,4.411764705882353,3,14,0.7795592659967951,84,16,1601,54,True,763,279,210,276,0,73
15x10_Suguru-796,Suguru-796,15x10,150,31,4.838709677419355,3,21,0.12092350699822418,15,7,344,2,True,208,50,21,48,0,17
15x10_Suguru-238,Suguru-238,15x10,150,32,4.6875,3,17,4.928485929995077,509,20,15039,298,True,8335,2020,1356,2343,0,985
15x10_Suguru-665,Suguru-665,15x10,150,33,4.545454545454546,3,23,0.3307695550029166,50,17,482,16,True,275,50,68,61,0,28
15x10_Suguru-689,Suguru-689,15x10,150,31,4.838709677419355,3,19,1.2769363240076927,130,18,2637,78,True,1416,372,382,341,0,126
15x10_Suguru-321,Suguru-321,15x10,150,33,4.545454545454546,3,21,0.6375884730077814,79,11,1547,52,True,983,202,177,129,0,56
15x10_Suguru-375,Suguru-375,15x10,150,31,4.838709677419355,3,23,4.815508594998391,538,14,21012,347,True,10348,2075,5363,2130,0,1096
15x10_Suguru-100,Suguru-100,15x10,150,32,4.6875,3,14,1.3631476199952886,109,17,3442,75,True,1868,579,331,499,0,165
15x10_Suguru-521,Suguru-521,15x10,150,31,4.838709677419355,3,22,2.674777923995862,255,19,6177,179,True,2916,578,1093,1146,0,444
15x10_Suguru-572,Suguru-572,15x10,150,31,4.838709677419355,3,18,2.4638211080018664,239,15,7697,145,True,4115,904,919,1115,0,644
15x10_Suguru-726,Suguru-726,15x10,150,33,4.545454545454546,3,15,0.588073067003279,63,19,1736,25,True,881,209,251,221,0,174
15x10_Suguru-534,Suguru-534,15x10,150,32,4.6875,3,15,0.6600992049934575,68,16,1270,28,True,786,231,115,104,0,34
15x10_Suguru-117,Suguru-117,15x10,150,31,4.838709677419355,3,18,0.6260744619939942,70,14,1321,25,True,799,200,95,191,0,36
15x10_Suguru-300,Suguru-300,15x10,150,32,4.6875,3,15,0.7914172509917989,84,15,2300,40,True,1273,263,368,325,0,71
15x10_Suguru-555,Suguru-555,15x10,150,31,4.838709677419355,3,16,0.20398509400547482,28,16,312,3,True,138,47,24,57,0,46
15x10_Suguru-609,Suguru-609,15x10,150,32,4.6875,4,20,2.9193052709888434,260,16,8760,228,True,4288,1247,1455,1083,0,687
15x10_Suguru-252,Suguru-252,15x10,150,33,4.545454545454546,3,17,0.15194350900128484,17,9,291,3,True,166,52,27,41,0,5
15x10_Suguru-366,Suguru-366,15x10,150,31,4.838709677419355,3,19,2.9187646729988046,349,15,5421,194,True,3104,1018,495,630,0,174
