,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dificuldade,dicas,tempo,nos_visitados,profundidade_maxima,total_podas,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
8x8_Suguru-637,Suguru-637,8x8,64,14,4.571428571428571,3,10,0.02888820999987729,9,5,102,1,True,69,10,6,8,4,5
8x8_Suguru-643,Suguru-643,8x8,64,15,4.266666666666667,2,8,0.7303385109998999,190,18,3252,118,True,1997,418,472,253,89,23
8x8_Suguru-645,Suguru-645,8x8,64,14,4.571428571428571,3,8,0.5917080419999365,176,14,2354,117,True,1616,225,178,193,96,46
8x8_Suguru-646,Suguru-646,8x8,64,15,4.266666666666667,3,11,0.03794062399992981,12,7,145,2,True,93,31,4,10,6,1
8x8_Suguru-654,Suguru-654,8x8,64,14,4.571428571428571,3,7,0.07116048400030195,22,7,341,9,True,188,55,24,48,18,8
8x8_Suguru-656,Suguru-656,8x8,64,15,4.266666666666667,3,9,0.05275803899985476,17,7,261,5,True,159,30,26,35,11,0
8x8_Suguru-673,Suguru-673,8x8,64,14,4.571428571428571,3,11,0.04543045300033555,19,13,161,0,True,91,24,17,17,3,9
8x8_Suguru-739,Suguru-739,8x8,64,14,4.571428571428571,3,10,0.06249424199995701,21,11,262,5,True,172,25,21,16,26,2
8x8_Suguru-743,Suguru-743,8x8,64,14,4.571428571428571,3,9,0.1691426339998543,46,11,839,21,True,531,95,33,54,96,30
8x8_Suguru-748,Suguru-748,8x8,64,14,4.571428571428571,3,11,0.07523411200008923,21,9,357,11,True,237,53,18,38,8,3
8x8_Suguru-848,Suguru-848,8x8,64,14,4.571428571428571,3,9,0.5890591990000758,156,13,2981,100,True,2167,289,157,312,56,0
8x8_Suguru-849,Suguru-849,8x8,64,13,4.923076923076923,3,11,0.14117877799981216,45,11,474,18,True,351,45,17,37,13,11
8x8_Suguru-931,Suguru-931,8x8,64,15,4.266666666666667,3,10,0.276092750999851,69,11,1157,42,True,660,152,105,178,47,15
8x8_Suguru-944,Suguru-944,8x8,64,14,4.571428571428571,3,7,0.08531172999983028,28,13,189,8,True,140,26,11,7,5,0
8x8_Suguru-1057,Suguru-1057,8x8,64,15,4.266666666666667,3,7,0.12140704400007962,37,13,577,13,True,347,108,38,46,35,3
8x8_Suguru-1060,Suguru-1060,8x8,64,14,4.571428571428571,3,9,0.05895672900032878,15,7,300,5,True,160,44,10,41,44,1
8x8_Suguru-1061,Suguru-1061,8x8,64,14,4.571428571428571,3,8,0.02975140599983206,10,9,125,0,True,61,18,25,17,3,1
8x8_Suguru-1067,Suguru-1067,8x8,64,13,4.923076923076923,3,9,0.42495228400002816,107,11,2067,65,True,1215,288,180,170,182,32
8x8_Suguru-1088,Suguru-1088,8x8,64,14,4.571428571428571,3,7,0.13751003199968181,40,15,523,16,True,363,67,28,47,18,0
8x8_Suguru-1180,Suguru-1180,8x8,64,14,4.571428571428571,3,9,0.10505923400023676,29,8,458,14,True,313,63,22,40,18,2
8x8_Suguru-1194,Suguru-1194,8x8,64,15,4.266666666666667,3,6,0.2311476429999857,65,11,1052,35,True,707,91,96,58,34,66
8x8_Suguru-1203,Suguru-1203,8x8,64,13,4.923076923076923,3,10,0.46568993799974123,115,12,2612,70,True,1503,311,245,347,169,37
8x8_Suguru-1217,Suguru-1217,8x8,64,13,4.923076923076923,2,12,0.03627483400032361,10,7,122,1,True,83,19,11,9,0,0
8x8_Suguru-1232,Suguru-1232,8x8,64,14,4.571428571428571,3,9,0.020230647000062163,4,3,95,0,True,58,22,0,11,4,0
8x8_Suguru-1272,Suguru-1272,8x8,64,13,4.923076923076923,3,11,0.07496587400009957,29,11,201,12,True,158,20,6,8,9,0
8x8_Suguru-1423,Suguru-1423,8x8,64,15,4.266666666666667,3,7,0.13961572700009128,39,13,831,19,True,477,115,65,91,80,3
8x8_Suguru-1445,Suguru-1445,8x8,64,15,4.266666666666667,3,6,0.0874512710001909,34,10,274,14,True,180,37,6,16,0,35
8x8_Suguru-1458,Suguru-1458,8x8,64,14,4.571428571428571,3,10,0.04867761300010898,15,9,234,2,True,154,35,7,15,20,3
8x8_Suguru-1468,Suguru-1468,8x8,64,15,4.266666666666667,3,8,0.08595212599993829,24,5,604,11,True,353,79,52,71,49,0
8x8_Suguru-1487,Suguru-1487,8x8,64,14,4.571428571428571,3,10,0.07420126199986044,24,9,213,9,True,146,39,14,14,0,0
8x8_Suguru-1507,Suguru-1507,8x8,64,14,4.571428571428571,3,7,0.1536767709999367,53,12,388,27,True,278,46,27,25,12,0
