,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dicas,tempo,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
8x8_Suguru-1273,Suguru-1273,8x8,64,14,4.571428571428571,11,0.3127561159999459,38,True,970,255,93,290,146,14
8x8_Suguru-1300,Suguru-1300,8x8,64,13,4.923076923076923,9,0.017831236000347417,0,True,30,13,4,5,2,0
8x8_Suguru-1308,Suguru-1308,8x8,64,14,4.571428571428571,8,0.023340763000305742,0,True,68,14,12,8,2,0
8x8_Suguru-1461,Suguru-1461,8x8,64,14,4.571428571428571,9,0.554204635998758,62,True,1431,389,301,321,307,52
8x8_Suguru-1479,Suguru-1479,8x8,64,14,4.571428571428571,8,0.0691505880022305,5,True,202,65,63,63,15,31
8x8_Suguru-1484,Suguru-1484,8x8,64,15,4.266666666666667,5,0.045971194998855935,0,True,97,40,10,30,18,2
8x8_Suguru-1557,Suguru-1557,8x8,64,14,4.571428571428571,8,0.7114672039970174,87,True,3061,624,247,558,259,89
8x8_Suguru-59,Suguru-59,8x8,64,14,4.571428571428571,10,0.051436742000078084,4,True,175,33,16,17,2,1
8x8_Suguru-71,Suguru-71,8x8,64,14,4.571428571428571,8,0.17145403800168424,13,True,514,67,40,81,36,2
8x8_Suguru-108,Suguru-108,8x8,64,15,4.266666666666667,8,0.12062858700301149,14,True,407,81,19,58,21,0
8x8_Suguru-174,Suguru-174,8x8,64,15,4.266666666666667,6,0.03207468499749666,1,True,39,17,8,5,0,5
8x8_Suguru-178,Suguru-178,8x8,64,14,4.571428571428571,8,0.050219617998664035,2,True,158,36,17,33,34,0
8x8_Suguru-222,Suguru-222,8x8,64,14,4.571428571428571,10,0.05197465599849238,1,True,187,41,14,39,29,14
8x8_Suguru-246,Suguru-246,8x8,64,14,4.571428571428571,10,0.014992478001659038,0,True,34,12,10,10,0,0
8x8_Suguru-285,Suguru-285,8x8,64,13,4.923076923076923,10,0.053018492999399314,2,True,135,36,34,17,35,16
8x8_Suguru-323,Suguru-323,8x8,64,14,4.571428571428571,9,0.023234897998918314,0,True,51,14,16,7,0,0
8x8_Suguru-336,Suguru-336,8x8,64,15,4.266666666666667,7,0.05440858899964951,4,True,70,32,3,59,12,0
8x8_Suguru-354,Suguru-354,8x8,64,14,4.571428571428571,8,0.08118479800032219,6,True,138,46,55,45,9,13
8x8_Suguru-436,Suguru-436,8x8,64,15,4.266666666666667,7,0.033785439998609945,2,True,51,27,13,13,0,0
8x8_Suguru-498,Suguru-498,8x8,64,14,4.571428571428571,8,0.10732936500062351,12,True,191,57,49,113,16,20
8x8_Suguru-552,Suguru-552,8x8,64,13,4.923076923076923,12,0.03016092400139314,1,True,62,17,7,10,8,1
8x8_Suguru-663,Suguru-663,8x8,64,14,4.571428571428571,9,0.13322991000313777,11,True,267,80,23,120,14,0
8x8_Suguru-742,Suguru-742,8x8,64,14,4.571428571428571,9,0.08079427999837208,8,True,155,59,138,50,7,3
8x8_Suguru-750,Suguru-750,8x8,64,14,4.571428571428571,8,0.027422946001024684,0,True,59,17,9,12,4,0
8x8_Suguru-824,Suguru-824,8x8,64,14,4.571428571428571,8,0.1453532390005421,16,True,418,102,131,35,56,19
8x8_Suguru-881,Suguru-881,8x8,64,15,4.266666666666667,9,0.12313169900153298,13,True,393,106,85,99,23,3
8x8_Suguru-930,Suguru-930,8x8,64,14,4.571428571428571,8,0.12673595799788018,13,True,207,84,22,150,0,0
8x8_Suguru-1078,Suguru-1078,8x8,64,15,4.266666666666667,9,0.09909941799924127,10,True,268,56,55,76,51,12
8x8_Suguru-1155,Suguru-1155,8x8,64,14,4.571428571428571,10,0.017442104002839187,0,True,38,11,0,10,1,0
8x8_Suguru-1164,Suguru-1164,8x8,64,13,4.923076923076923,8,0.0331599630007986,1,True,127,25,16,39,6,0
8x8_Suguru-1185,Suguru-1185,8x8,64,14,4.571428571428571,9,0.01187538700105506,0,True,34,13,0,9,3,0
8x8_Suguru-1188,Suguru-1188,8x8,64,14,4.571428571428571,8,0.05517729799976223,5,True,111,27,11,13,5,0
8x8_Suguru-1201,Suguru-1201,8x8,64,14,4.571428571428571,9,0.09024756900180364,8,True,265,50,6,61,21,0
8x8_Suguru-1282,Suguru-1282,8x8,64,15,4.266666666666667,11,0.09803186200224445,9,True,386,92,107,101,101,14
8x8_Suguru-1311,Suguru-1311,8x8,64,14,4.571428571428571,11,0.02346001600017189,0,True,44,17,8,17,7,2
8x8_Suguru-1325,Suguru-1325,8x8,64,13,4.923076923076923,7,0.2277811070016469,29,True,311,95,86,16,15,74
8x8_Suguru-1343,Suguru-1343,8x8,64,14,4.571428571428571,9,0.1481916459997592,17,True,415,103,56,86,23,7
